BLDG_NM,THING_AMT,address,latitude,longitude,THING_AMT_KOR
광나루현대,150000,서울특별시 광진구 광장동 0567-0000 광나루현대,37.5470812420491,127.10855459915,15억
광남캐스빌3차,50500,서울특별시 광진구 중곡동 0646-0010 광남캐스빌3차,37.5589266709124,127.079051865013,5억
광동빌라,18500,서울특별시 광진구 구의동 0059-0029 광동빌라,37.5483244745711,127.09276547442,1억 8천
광양아트빌라트,79000,서울특별시 광진구 자양동 0667-0002 광양아트빌라트,37.530294295942,127.084984773192,7억 9천
광장동현대Ⅰ빌라트,129500,서울특별시 광진구 광장동 0350-0001 광장동현대Ⅰ빌라트,37.5492794520241,127.105119865271,12억 9천
광장르엣지29,112000,서울특별시 광진구 광장동 0530-0001 광장르엣지29,37.5429813142048,127.094428900535,11억 2천
광장빌리지(457-3),58000,서울특별시 광진구 광장동 0457-0003 광장빌리지(457-3),37.5417838161562,127.100517153246,5억 8천
광장자이,260000,서울특별시 광진구 광장동 0581-0000 광장자이,37.54257313525,127.095246940713,26억
광장현대9단지,173000,서울특별시 광진구 광장동 0576-0000 광장현대9단지,37.5424699220874,127.09773245669,17억 3천
광장힐스테이트,280000,서울특별시 광진구 광장동 0582-0000 광장힐스테이트,37.5431780182608,127.099564904065,28억
광진We’vePark,139000,서울특별시 광진구 군자동 0503-0000 광진We’vePark,37.5484379045958,127.071086917603,13억 9천
광진스위트엠아파트,92500,서울특별시 광진구 화양동 0532-0000 광진스위트엠아파트,37.5458336997714,127.074526056376,9억 2천
광진캠퍼스시티,19500,서울특별시 광진구 화양동 0021-0020 광진캠퍼스시티,37.5478019769293,127.067876253552,1억 9천
광진코지웰,17000,서울특별시 광진구 화양동 0113-0001 광진코지웰,37.547067569974,127.07184085057,1억 7천
광진트라팰리스,70000,서울특별시 광진구 자양동 0854-0000 광진트라팰리스,37.5318922601242,127.067948157119,7억
광진파크프라이빗,57500,서울특별시 광진구 구의동 0670-0000 광진파크프라이빗,37.5432509878955,127.091910752474,5억 7천
광진파크하우스,57000,서울특별시 광진구 구의동 0682-0000 광진파크하우스,37.5473875097122,127.08735294776,5억 7천
광진하나플러스,135000,서울특별시 광진구 자양동 0811-0000 광진하나플러스,37.5295481676458,127.075728758153,13억 5천
광진하우스토리한강,268000,서울특별시 광진구 자양동 0813-0000 광진하우스토리한강,37.5300176447303,127.089792805342,26억 8천
광진해모로리버뷰,25000,서울특별시 광진구 구의동 0547-0007 광진해모로리버뷰,37.534151371835,127.09221581351,2억 5천
광현빌라,33000,서울특별시 광진구 구의동 0248-0130 광현빌라,37.5398957327979,127.085463204495,3억 3천
광현빌라트13차,31500,서울특별시 광진구 구의동 0049-0010 광현빌라트13차,37.5523407442358,127.092445771391,3억 1천
구의강변우성아파트,159000,서울특별시 광진구 구의동 0546-0007 구의강변우성아파트,37.5353400419669,127.09293075646,15억 9천
구의동에코하임,62000,서울특별시 광진구 구의동 0642-0003 구의동에코하임,37.543309508693,127.081933723897,6억 2천
구의동홀가하우스,48000,서울특별시 광진구 구의동 0080-0029 구의동홀가하우스,37.5463244528774,127.086329989872,4억 8천
구의에코하임,50700,서울특별시 광진구 구의동 0251-0171 구의에코하임,37.5410248658138,127.084461065582,5억
구의자이르네,92500,서울특별시 광진구 구의동 0671-0000 구의자이르네,37.545466944394,127.088797661055,9억 2천
구의현대2단지,180000,서울특별시 광진구 구의동 0611-0000 구의현대2단지,37.5386275109447,127.095874079019,18억
