id,listing,rental_condition,details,agency,address,latitude,longitude,transaction_type,deposit,monthly_rent,housing_type,area_info,floor_info,direction
1736,일반원룸,"월세1,000/40","원룸120/18m², 2/4층, 남동향",국가대표공인중개사사무소,서울시 광진구 중곡동 192-19,37.5657655221581,127.081018165462,월세,1000,40,원룸,120/18m,2/4층,남동향
1737,일반원룸,"전세1억 8,900","원룸39/29m², 2/5층, 동향",열린공인중개사사무소,서울시 광진구 중곡동 192-19,37.5657655221581,127.081018165462,전세,18900,0,원룸,39/29m,2/5층,동향
1738,일반원룸,월세500/35,"원룸21/21m², B1/2층, 동향",행운공인중개사사무소,서울시 광진구 중곡동 624-25,37.5604423316958,127.077138785274,월세,500,35,원룸,21/21m,B1/2층,동향
1741,집주인기타,"월세1억 9,000/30","원룸44/28m², 2/5층, 북동향",국민공인중개사사무소,서울시 광진구 중곡동 81-3,37.5569667039873,127.088968393067,월세,19000,30,원룸,44/28m,2/5층,북동향
1742,집주인기타,월세2억/25,"빌라44/28m², 2/5층, 동향",한진공인중개사사무소,서울시 광진구 중곡동 81-3,37.5569667039873,127.088968393067,월세,20000,25,빌라,44/28m,2/5층,동향
1743,집주인상가주택,"월세1,000/60","상가주택24/24m², 5/5층, 남서향",경기공인중개사사무소,서울시 광진구 중곡동 78-8,37.5587568338591,127.088329705781,월세,1000,60,상가주택,24/24m,5/5층,남서향
1744,현장일반원룸,"월세1,000/30","원룸24/22m², 3/3층, 남서향",국민공인중개사사무소,서울시 광진구 중곡동 80-14,37.556580068867,127.08863191671,월세,1000,30,원룸,24/22m,3/3층,남서향
1745,집주인다가구,월세1억/35,"단독/다가구26/26m², 2/5층, 남서향",군자역무지개부동산,서울시 광진구 중곡동 46-5,37.5604755960572,127.084610572161,월세,10000,35,단독/다가구,26/26m,2/5층,남서향
1746,일반원룸,"월세2,000/40","원룸25/21m², 1/3층, 서향",행복한마을공인중개사사무소,서울시 광진구 중곡동 120-22,37.5560024969682,127.086242691903,월세,2000,40,원룸,25/21m,1/3층,서향
1747,집주인빌라,"월세2억 3,600/15","빌라32/22m², 4/6층, 북동향",하버드공인중개사사무소,서울시 광진구 중곡동 142-16,37.5574702349643,127.082181238011,월세,23600,15,빌라,32/22m,4/6층,북동향
1748,집주인다가구,"월세3,000/55","단독/다가구19/19m², 1/5층, 남동향",군자역무지개부동산,서울시 광진구 중곡동 46-5,37.5604755960572,127.084610572161,월세,3000,55,단독/다가구,19/19m,1/5층,남동향
1749,집주인다가구,"월세5,000/58","단독/다가구-/21m², 5/5층, 서향",경기공인중개사사무소,서울시 광진구 중곡동 62-67,37.5591130137544,127.088789066551,월세,5000,58,단독/다가구,-/21m,5/5층,서향
1750,집주인다가구,"전세8,000","단독/다가구-/30m², B1/2층, 남동향",경기공인중개사사무소,서울시 광진구 중곡동 126-48,37.5578665788873,127.086722560321,전세,8000,0,단독/다가구,-/30m,B1/2층,남동향
1751,집주인일반원룸,"월세5,000/85","원룸31/31m², 6/8층, 북동향",The두꺼비공인중개사사무소,서울시 광진구 중곡동 126-48,37.5578665788873,127.086722560321,월세,5000,85,원룸,31/31m,6/8층,북동향
1752,집주인다가구,"전세8,000","단독/다가구-/23m², B1/2층, 동향",The두꺼비공인중개사사무소,서울시 광진구 중곡동 126-48,37.5578665788873,127.086722560321,전세,8000,0,단독/다가구,-/23m,B1/2층,동향
1753,집주인빌라,"월세5,000/95","빌라30/24m², 3/6층, 남향",사계절공인중개사사무소,서울시 광진구 중곡동 211-19,37.5694663546664,127.082588220336,월세,5000,95,빌라,30/24m,3/6층,남향
1754,집주인단독,"월세3,000/35","단독/다가구-/19m², 1/5층, 남동향",늘온공인중개사사무소,서울시 광진구 중곡동,37.5617477458583,127.090401426965,월세,3000,35,단독/다가구,-/19m,1/5층,남동향
1755,집주인빌라,"월세5,000/94","빌라30/24m², 중/6층, 남향",사계절공인중개사사무소,서울시 광진구 중곡동 211-19,37.5694663546664,127.082588220336,월세,5000,94,빌라,30/24m,중/6층,남향
1756,다가구,월세500/40,"단독/다가구72/20m², 1/3층, 동향",행운공인중개사사무소,서울시 광진구 중곡동 94-2,37.5549568322026,127.089468037183,월세,500,40,단독/다가구,72/20m,1/3층,동향
1757,다가구,"전세4,000","단독/다가구63/18m², B1/2층, 북동향",국가대표공인중개사사무소,서울시 광진구 중곡동 239-64,37.5642699586653,127.077803741994,전세,4000,0,단독/다가구,63/18m,B1/2층,북동향
1758,빌라,"월세2,000/70","빌라30/25m², 저/4층, 남동향",엘리트공인중개사사무소,서울시 광진구 중곡동 172-1,37.5664779929637,127.083654566592,월세,2000,70,빌라,30/25m,저/4층,남동향
1759,다가구,"월세5,000/125","단독/다가구55/49m², 3/5층, 남향",주식회사세움부동산중개법인,서울시 광진구 중곡동 172-1,37.5664779929637,127.083654566592,월세,5000,125,단독/다가구,55/49m,3/5층,남향
1760,빌라,"월세2,000/70","빌라30/25m², 1/4층, 남서향",제일공인중개사사무소,서울시 광진구 중곡동 172-1,37.5664779929637,127.083654566592,월세,2000,70,빌라,30/25m,1/4층,남서향
1761,빌라,월세1억/60,"빌라36/29m², 5/5층, 남동향",군자역무지개부동산,서울시 광진구 중곡동 110-24,37.5542798084994,127.092411046332,월세,10000,60,빌라,36/29m,5/5층,남동향
1762,빌라,"월세2,000/143","빌라32/29m², 1/4층, 북향",주식회사세움부동산중개법인,서울시 광진구 중곡동 110-24,37.5542798084994,127.092411046332,월세,2000,143,빌라,32/29m,1/4층,북향
1763,빌라,"월세8,000/100","빌라36/30m², 4/5층, 서향",주식회사세움부동산중개법인,서울시 광진구 중곡동 110-24,37.5542798084994,127.092411046332,월세,8000,100,빌라,36/30m,4/5층,서향
1764,단독,"전세1억 5,500","단독/다가구50/50m², 2/4층, 남동향",한솔공인중개사사무소,서울시 광진구 중곡동 74-64,37.5590390318354,127.094151840827,전세,15500,0,단독/다가구,50/50m,2/4층,남동향
1765,집주인다가구,월세500/35,"단독/다가구-/30m², 고/5층, 남향",황금돼지공인중개사사무소,서울시 광진구 중곡동 181-14,37.5696014020857,127.079721825801,월세,500,35,단독/다가구,-/30m,고/5층,남향
1766,다가구,월세1억/60,"단독/다가구45/40m², 3/5층, 남향",까치공인중개사사무소,서울시 광진구 중곡동 121-28,37.5572311611739,127.086030884297,월세,10000,60,단독/다가구,45/40m,3/5층,남향
1767,다가구,"월세1억 3,000/50","단독/다가구46/40m², 2/4층, 동향",한양공인중개사사무소,서울시 광진구 중곡동 24-23,37.5627051385384,127.086439322275,월세,13000,50,단독/다가구,46/40m,2/4층,동향
1768,다가구,"월세1억 2,000/50","단독/다가구46/42m², 2/4층, 서향",한양공인중개사사무소,서울시 광진구 중곡동 252-21,37.561878893456,127.075867522854,월세,12000,50,단독/다가구,46/42m,2/4층,서향
1769,빌라,"전세2억 7,000","빌라32/26m², 고/7층, 남동향",VIP부동산공인중개사사무소,서울시 광진구 중곡동 163-4,37.5620721094689,127.081873453771,전세,27000,0,빌라,32/26m,고/7층,남동향
1770,빌라,"월세2,000/70","빌라30/25m², 1/4층, 남향",온누리공인중개사사무소,서울시 광진구 중곡동 172-1,37.5664779929637,127.083654566592,월세,2000,70,빌라,30/25m,1/4층,남향
1771,단독,"월세2,000/85","단독/다가구37/33m², 2/3층, 남향",행복한마을공인중개사사무소,서울시 광진구 중곡동,37.5617477458583,127.090401426965,월세,2000,85,단독/다가구,37/33m,2/3층,남향
1772,집주인일반원룸,"월세3,000/70","원룸26/26m², 3/4층, 남서향",군자역무지개부동산,서울시 광진구 중곡동 605-1,37.5707258119851,127.086425498827,월세,3000,70,원룸,26/26m,3/4층,남서향
1773,집주인다가구,월세1억/35,"단독/다가구-/33m², 2/5층, 남서향",늘온공인중개사사무소,서울시 광진구 중곡동 46-5,37.5604755960572,127.084610572161,월세,10000,35,단독/다가구,-/33m,2/5층,남서향
1774,집주인다가구,전세1억,"단독/다가구40/30m², B1/2층, 북향",강남퍼스트부동산중개,서울시 광진구 중곡동 150-318,37.5620262176987,127.088773508861,전세,10000,0,단독/다가구,40/30m,B1/2층,북향
1775,집주인단독,월세500/30,"단독/다가구-/33m², B1/2층, 남서향",늘온공인중개사사무소,서울시 광진구 중곡동,37.5617477458583,127.090401426965,월세,500,30,단독/다가구,-/33m,B1/2층,남서향
1776,집주인일반원룸,"월세1,000/65","원룸19/19m², 4/4층, 남서향",군자역무지개부동산,서울시 광진구 중곡동 605-1,37.5707258119851,127.086425498827,월세,1000,65,원룸,19/19m,4/4층,남서향
1777,집주인일반원룸,월세1억/35,"원룸68/25m², 2/5층, 남서향",더 에이 공인중개사사무소,서울시 광진구 중곡동 46-5,37.5604755960572,127.084610572161,월세,10000,35,원룸,68/25m,2/5층,남서향
1778,집주인다가구,"월세5,000/85","단독/다가구-/34m², 6/8층, 서향",늘온공인중개사사무소,서울시 광진구 중곡동 158-10,37.5579137734444,127.081040447661,월세,5000,85,단독/다가구,-/34m,6/8층,서향
